@relation snake_game

@attribute snake_pos_x NUMERIC
@attribute snake_pos_y NUMERIC
@attribute snake_pos_x_next NUMERIC
@attribute snake_pos_y_next NUMERIC
@attribute food_pos_x NUMERIC
@attribute food_pos_y NUMERIC
@attribute food_side_y {UP, DOWN, EQUAL}
@attribute food_side_x {RIGHT, LEFT, EQUAL}
@attribute manhattan_distance NUMERIC
@attribute next_manhattan_distance NUMERIC
@attribute large_snake NUMERIC
@attribute right_safe {True, False}
@attribute left_safe {True, False}
@attribute up_safe {True, False}
@attribute down_safe {True, False}
@attribute cycle {True, False}
@attribute body_indirection {True, False}
@attribute previous_direction {UP, DOWN, LEFT, RIGHT}
@attribute direction {UP, DOWN, LEFT, RIGHT}
@attribute score NUMERIC
@attribute next_score NUMERIC

@data
190,180,180,180,180,150,UP,LEFT,40,30,5,False,True,True,True,False,False,LEFT,LEFT,122,121
180,180,180,170,180,150,UP,EQUAL,30,20,5,False,True,True,True,False,False,LEFT,UP,121,120
180,180,180,170,180,150,UP,EQUAL,30,20,5,False,True,True,True,False,False,UP,UP,121,120
180,170,180,160,180,150,UP,EQUAL,20,10,5,True,True,True,False,False,False,UP,UP,120,119
180,170,180,160,180,150,UP,EQUAL,20,10,5,True,True,True,False,False,False,UP,UP,120,119
180,160,180,150,180,150,UP,EQUAL,10,0,5,True,True,True,False,False,False,UP,UP,119,219
180,160,180,150,180,150,UP,EQUAL,10,0,5,True,True,True,False,False,False,UP,UP,119,219
180,150,180,140,80,350,EQUAL,EQUAL,300,310,6,True,True,True,False,False,False,UP,UP,219,218
180,150,180,140,80,350,EQUAL,EQUAL,300,310,6,True,True,True,False,False,False,UP,UP,219,218
180,140,180,130,80,350,DOWN,LEFT,310,320,6,True,True,True,False,False,False,UP,UP,218,217
180,140,180,130,80,350,DOWN,LEFT,310,320,6,True,True,True,False,False,False,UP,UP,218,217
180,130,180,120,80,350,DOWN,LEFT,320,330,6,True,True,True,False,False,False,UP,UP,217,216
180,130,180,120,80,350,DOWN,LEFT,320,330,6,True,True,True,False,False,False,UP,UP,217,216
180,120,180,110,80,350,DOWN,LEFT,330,340,6,True,True,True,False,False,False,UP,UP,216,215
180,120,180,110,80,350,DOWN,LEFT,330,340,6,True,True,True,False,False,False,UP,UP,216,215
